milliseconds, ECG, ECG HR, PPG, PPG HR, SpO2, PI
1523629844927,262144,85,-56,-1,-1,0
1523629844927,393216,85,-56,-1,-1,0
1523629844927,524288,85,-56,-1,-1,0
1523629844927,524288,85,-56,-1,-1,0
1523629844927,524288,85,-56,-1,-1,0
1523629844967,458752,85,-56,-1,-1,0
1523629844967,458752,85,-56,-1,-1,0
1523629844967,524288,85,-56,-1,-1,0
1523629844967,524288,85,-56,-1,-1,0
1523629844967,524288,85,-56,-1,-1,0
1523629845030,524288,85,-56,-1,-1,0
1523629845030,589824,85,-56,-1,-1,0
1523629845030,524288,85,-56,-1,-1,0
1523629845030,393216,85,-56,-1,-1,0
1523629845030,327680,85,-56,-1,-1,0
1523629845047,327680,85,-56,-1,-1,0
1523629845047,327680,85,-56,-1,-1,0
1523629845047,393216,85,-56,-1,-1,0
1523629845047,393216,85,-56,-1,-1,0
1523629845047,327680,85,-56,-1,-1,0
1523629845087,327680,85,-56,-1,-1,0
1523629845087,393216,85,-56,-1,-1,0
1523629845087,393216,85,-56,-1,-1,0
1523629845087,458752,85,-56,-1,-1,0
1523629845087,458752,85,-56,-1,-1,0
1523629845127,327680,85,-56,-1,-1,0
1523629845127,262144,85,-56,-1,-1,0
1523629845127,196608,85,-56,-1,-1,0
1523629845127,131072,85,-56,-1,-1,0
1523629845127,196608,85,-56,-1,-1,0
1523629845169,327680,85,-56,-1,-1,0
1523629845169,458752,85,-56,-1,-1,0
1523629845169,524288,85,-56,-1,-1,0
1523629845169,524288,85,-56,-1,-1,0
1523629845169,589824,85,-56,-1,-1,0
1523629845207,655360,85,-56,-1,-1,0
1523629845207,589824,85,-56,-1,-1,0
1523629845207,458752,85,-56,-1,-1,0
1523629845207,524288,85,-56,-1,-1,0
1523629845207,589824,85,-56,-1,-1,0
1523629845247,720896,85,-56,-1,-1,0
1523629845247,720896,85,-56,-1,-1,0
1523629845247,458752,85,-56,-1,-1,0
1523629845247,-983040,85,-56,-1,-1,0
1523629845247,-4390912,85,-56,-1,-1,0
1523629845287,-7733248,86,-56,-1,-1,0
1523629845287,-6684672,86,-56,-1,-1,0
1523629845287,-2097152,86,-56,-1,-1,0
1523629845287,1441792,86,-56,-1,-1,0
1523629845287,2097152,86,-56,-1,-1,0
1523629845327,1572864,86,-56,-1,-1,0
1523629845327,1114112,86,-56,-1,-1,0
1523629845327,786432,86,-56,-1,-1,0
1523629845327,720896,86,-56,-1,-1,0
1523629845327,655360,86,-56,-1,-1,0
1523629845367,524288,86,-56,-1,-1,0
1523629845367,327680,86,-56,-1,-1,0
1523629845367,393216,86,-56,-1,-1,0
1523629845367,393216,86,-56,-1,-1,0
1523629845367,196608,86,-56,-1,-1,0
1523629845407,0,86,-56,-1,-1,0
1523629845407,0,86,-56,-1,-1,0
1523629845407,-131072,86,-56,-1,-1,0
1523629845407,-262144,86,-56,-1,-1,0
1523629845407,-393216,86,-56,-1,-1,0
1523629845447,-720896,86,-56,-1,-1,0
1523629845447,-983040,86,-56,-1,-1,0
1523629845447,-1310720,86,-56,-1,-1,0
1523629845447,-1703936,86,-56,-1,-1,0
1523629845447,-2031616,86,-56,-1,-1,0
1523629845487,-2228224,86,-56,-1,-1,0
1523629845487,-2228224,86,-56,-1,-1,0
1523629845487,-2162688,86,-56,-1,-1,0
1523629845487,-1966080,86,-56,-1,-1,0
1523629845487,-1703936,86,-56,-1,-1,0
1523629845527,-1245184,86,-56,-1,-1,0
1523629845527,-720896,86,-56,-1,-1,0
1523629845527,-393216,86,-56,-1,-1,0
1523629845527,-262144,86,-56,-1,-1,0
1523629845527,-196608,86,-56,-1,-1,0
1523629845567,65536,86,-56,-1,-1,0
1523629845567,327680,86,-56,-1,-1,0
1523629845567,393216,86,-56,-1,-1,0
1523629845567,458752,86,-56,-1,-1,0
1523629845567,458752,86,-56,-1,-1,0
1523629845607,458752,86,-56,-1,-1,0
1523629845607,524288,86,-56,-1,-1,0
1523629845607,524288,86,-56,-1,-1,0
1523629845607,524288,86,-56,-1,-1,0
1523629845607,524288,86,-56,-1,-1,0
1523629845647,458752,86,-56,-1,-1,0
1523629845647,458752,86,-56,-1,-1,0
1523629845647,524288,86,-56,-1,-1,0
1523629845647,524288,86,-56,-1,-1,0
1523629845647,458752,86,-56,-1,-1,0
1523629845689,524288,86,-56,-1,-1,0
1523629845689,589824,86,-56,-1,-1,0
1523629845689,589824,86,-56,-1,-1,0
1523629845689,524288,86,-56,-1,-1,0
1523629845689,458752,86,-56,-1,-1,0
1523629845727,524288,86,-56,-1,-1,0
1523629845727,524288,86,-56,-1,-1,0
1523629845727,458752,86,-56,-1,-1,0
1523629845727,393216,86,-56,-1,-1,0
1523629845727,458752,86,-56,-1,-1,0
1523629845767,458752,86,-56,-1,-1,0
1523629845767,393216,86,-56,-1,-1,0
1523629845767,458752,86,-56,-1,-1,0
1523629845767,458752,86,-56,-1,-1,0
1523629845767,524288,86,-56,-1,-1,0
1523629845807,589824,86,-56,-1,-1,0
1523629845807,655360,86,-56,-1,-1,0
1523629845807,786432,86,-56,-1,-1,0
1523629845807,720896,86,-56,-1,-1,0
1523629845807,589824,86,-56,-1,-1,0
1523629845847,458752,86,-56,-1,-1,0
1523629845847,393216,86,-56,-1,-1,0
1523629845847,458752,86,-56,-1,-1,0
1523629845847,327680,86,-56,-1,-1,0
1523629845847,262144,86,-56,-1,-1,0
1523629845887,327680,86,-56,-1,-1,0
1523629845887,524288,86,-56,-1,-1,0
1523629845887,589824,86,-56,-1,-1,0
1523629845887,655360,86,-56,-1,-1,0
1523629845887,786432,86,-56,-1,-1,0
1523629845927,851968,86,-56,-1,-1,0
1523629845927,786432,86,-56,-1,-1,0
1523629845927,720896,86,-56,-1,-1,0
1523629845927,720896,86,-56,-1,-1,0
1523629845927,786432,86,-56,-1,-1,0
1523629845967,786432,86,-56,-1,-1,0
1523629845967,720896,86,-56,-1,-1,0
1523629845967,393216,86,-56,-1,-1,0
1523629845967,-1310720,86,-56,-1,-1,0
1523629845967,-4980736,86,-56,-1,-1,0
1523629846009,-8060928,86,-56,-1,-1,0
1523629846009,-6553600,86,-56,-1,-1,0
1523629846009,-1769472,86,-56,-1,-1,0
1523629846009,1507328,86,-56,-1,-1,0
1523629846009,2097152,86,-56,-1,-1,0
1523629846047,1638400,86,-56,-1,-1,0
1523629846047,1245184,86,-56,-1,-1,0
1523629846047,917504,86,-56,-1,-1,0
1523629846047,786432,86,-56,-1,-1,0
1523629846047,589824,86,-56,-1,-1,0
1523629846087,524288,86,-56,-1,-1,0
1523629846087,589824,86,-56,-1,-1,0
1523629846087,524288,86,-56,-1,-1,0
1523629846087,393216,86,-56,-1,-1,0
1523629846087,131072,86,-56,-1,-1,0
1523629846127,65536,86,-56,-1,-1,0
1523629846127,0,86,-56,-1,-1,0
1523629846127,-65536,86,-56,-1,-1,0
1523629846127,-327680,86,-56,-1,-1,0
1523629846127,-393216,86,-56,-1,-1,0
1523629846168,-458752,86,-56,-1,-1,0
1523629846168,-720896,86,-56,-1,-1,0
1523629846168,-1114112,86,-56,-1,-1,0
1523629846168,-1441792,86,-56,-1,-1,0
1523629846168,-1769472,86,-56,-1,-1,0
1523629846207,-2228224,86,-56,-1,-1,0
1523629846207,-2490368,86,-56,-1,-1,0
1523629846207,-2359296,86,-56,-1,-1,0
1523629846207,-2031616,86,-56,-1,-1,0
1523629846207,-1441792,86,-56,-1,-1,0
1523629846247,-1048576,86,-56,-1,-1,0
1523629846247,-720896,86,-56,-1,-1,0
1523629846247,-327680,86,-56,-1,-1,0
1523629846247,262144,86,-56,-1,-1,0
1523629846247,720896,86,-56,-1,-1,0
1523629846287,720896,86,-56,-1,-1,0
1523629846287,458752,86,-56,-1,-1,0
1523629846287,393216,86,-56,-1,-1,0
1523629846287,458752,86,-56,-1,-1,0
1523629846287,655360,86,-56,-1,-1,0
1523629846328,851968,86,-56,-1,-1,0
1523629846328,1048576,86,-56,-1,-1,0
1523629846328,1310720,86,-56,-1,-1,0
1523629846328,1507328,86,-56,-1,-1,0
1523629846328,1507328,86,-56,-1,-1,0
1523629846367,1179648,86,-56,-1,-1,0
1523629846367,917504,86,-56,-1,-1,0
1523629846367,655360,86,-56,-1,-1,0
1523629846367,655360,86,-56,-1,-1,0
1523629846367,851968,86,-56,-1,-1,0
1523629846407,1048576,86,-56,-1,-1,0
1523629846407,1114112,86,-56,-1,-1,0
1523629846407,1179648,86,-56,-1,-1,0
1523629846407,1048576,86,-56,-1,-1,0
1523629846407,1048576,86,-56,-1,-1,0
1523629846447,1048576,86,-56,-1,-1,0
1523629846447,1048576,86,-56,-1,-1,0
1523629846447,917504,86,-56,-1,-1,0
1523629846447,851968,86,-56,-1,-1,0
1523629846447,917504,86,-56,-1,-1,0
1523629846487,1048576,86,-56,-1,-1,0
1523629846487,917504,86,-56,-1,-1,0
1523629846487,720896,86,-56,-1,-1,0
1523629846487,786432,86,-56,-1,-1,0
1523629846487,786432,86,-56,-1,-1,0
1523629846527,655360,86,-56,-1,-1,0
1523629846527,786432,86,-56,-1,-1,0
1523629846527,983040,86,-56,-1,-1,0
1523629846527,851968,86,-56,-1,-1,0
1523629846527,524288,86,-56,-1,-1,0
1523629846567,458752,86,-56,-1,-1,0
1523629846567,393216,86,-56,-1,-1,0
1523629846567,262144,86,-56,-1,-1,0
1523629846567,262144,86,-56,-1,-1,0
1523629846567,458752,86,-56,-1,-1,0
1523629846607,655360,86,-56,-1,-1,0
1523629846607,458752,86,-56,-1,-1,0
1523629846607,196608,86,-56,-1,-1,0
1523629846607,327680,86,-56,-1,-1,0
1523629846607,720896,86,-56,-1,-1,0
1523629846647,786432,86,-56,-1,-1,0
1523629846647,720896,86,-56,-1,-1,0
1523629846647,655360,86,-56,-1,-1,0
1523629846647,589824,86,-56,-1,-1,0
1523629846647,655360,86,-56,-1,-1,0
1523629846687,917504,86,-56,-1,-1,0
1523629846687,589824,86,-56,-1,-1,0
1523629846687,-786432,86,-56,-1,-1,0
1523629846687,-3604480,86,-56,-1,-1,0
1523629846687,-7340032,86,-56,-1,-1,0
1523629846727,-8126464,86,-56,-1,-1,0
1523629846727,-4128768,86,-56,-1,-1,0
1523629846727,458752,86,-56,-1,-1,0
1523629846727,1703936,86,-56,-1,-1,0
1523629846727,983040,86,-56,-1,-1,0
1523629846767,786432,86,-56,-1,-1,0
1523629846767,786432,86,-56,-1,-1,0
1523629846767,655360,86,-56,-1,-1,0
1523629846767,131072,86,-56,-1,-1,0
1523629846767,-327680,86,-56,-1,-1,0
1523629846807,-131072,86,-56,-1,-1,0
1523629846807,393216,86,-56,-1,-1,0
1523629846807,458752,86,-56,-1,-1,0
1523629846807,65536,86,-56,-1,-1,0
1523629846807,-65536,86,-56,-1,-1,0
1523629846847,-65536,86,-56,-1,-1,0
1523629846847,-393216,86,-56,-1,-1,0
1523629846847,-786432,86,-56,-1,-1,0
1523629846847,-1310720,86,-56,-1,-1,0
1523629846847,-1572864,86,-56,-1,-1,0
1523629846887,-1572864,86,-56,-1,-1,0
1523629846887,-1376256,86,-56,-1,-1,0
1523629846887,-1638400,86,-56,-1,-1,0
1523629846887,-2424832,86,-56,-1,-1,0
1523629846887,-2883584,86,-56,-1,-1,0
1523629846927,-3014656,86,-56,-1,-1,0
1523629846927,-3014656,86,-56,-1,-1,0
1523629846927,-2949120,86,-56,-1,-1,0
1523629846927,-2752512,86,-56,-1,-1,0
1523629846927,-2097152,86,-56,-1,-1,0
1523629846968,-1441792,86,-56,-1,-1,0
1523629846968,-1179648,86,-56,-1,-1,0
1523629846968,-1048576,86,-56,-1,-1,0
1523629846968,-589824,86,-56,-1,-1,0
1523629846968,-262144,86,-56,-1,-1,0
1523629847007,65536,86,-56,-1,-1,0
1523629847007,589824,86,-56,-1,-1,0
1523629847007,655360,86,-56,-1,-1,0
1523629847007,327680,86,-56,-1,-1,0
1523629847007,262144,86,-56,-1,-1,0
1523629847047,524288,86,-56,-1,-1,0
1523629847047,589824,86,-56,-1,-1,0
1523629847047,589824,86,-56,-1,-1,0
1523629847047,524288,86,-56,-1,-1,0
1523629847047,327680,86,-56,-1,-1,0
1523629847088,327680,86,-56,-1,-1,0
1523629847088,720896,86,-56,-1,-1,0
1523629847088,917504,86,-56,-1,-1,0
1523629847088,917504,86,-56,-1,-1,0
1523629847088,1114112,86,-56,-1,-1,0
1523629847127,1376256,86,-56,-1,-1,0
1523629847127,1179648,86,-56,-1,-1,0
1523629847127,786432,86,-56,-1,-1,0
1523629847127,393216,86,-56,-1,-1,0
1523629847127,327680,86,-56,-1,-1,0
1523629847168,589824,86,-56,-1,-1,0
1523629847168,983040,86,-56,-1,-1,0
1523629847168,1179648,86,-56,-1,-1,0
1523629847168,1245184,86,-56,-1,-1,0
1523629847168,1179648,86,-56,-1,-1,0
1523629847207,917504,86,-56,-1,-1,0
1523629847207,720896,86,-56,-1,-1,0
1523629847207,655360,86,-56,-1,-1,0
1523629847207,262144,86,-56,-1,-1,0
1523629847207,262144,86,-56,-1,-1,0
1523629847247,655360,86,-56,-1,-1,0
1523629847247,983040,86,-56,-1,-1,0
1523629847247,786432,86,-56,-1,-1,0
1523629847247,917504,86,-56,-1,-1,0
1523629847247,1048576,86,-56,-1,-1,0
1523629847287,589824,86,-56,-1,-1,0
1523629847287,458752,86,-56,-1,-1,0
1523629847287,851968,86,-56,-1,-1,0
1523629847287,1048576,86,-56,-1,-1,0
1523629847287,917504,86,-56,-1,-1,0
1523629847327,917504,86,-56,-1,-1,0
1523629847327,851968,86,-56,-1,-1,0
1523629847327,1114112,86,-56,-1,-1,0
1523629847327,1245184,86,-56,-1,-1,0
1523629847327,851968,86,-56,-1,-1,0
1523629847367,262144,86,-56,-1,-1,0
1523629847367,-196608,86,-56,-1,-1,0
1523629847367,-1703936,86,-56,-1,-1,0
1523629847367,-4653056,86,-56,-1,-1,0
1523629847367,-6684672,86,-56,-1,-1,0
1523629847408,-4128768,86,-56,-1,-1,0
1523629847408,917504,86,-56,-1,-1,0
1523629847408,3604480,86,-56,-1,-1,0
1523629847408,2883584,86,-56,-1,-1,0
1523629847408,1703936,86,-56,-1,-1,0
1523629847447,983040,86,-56,-1,-1,0
1523629847447,786432,86,-56,-1,-1,0
1523629847447,655360,86,-56,-1,-1,0
1523629847447,655360,86,-56,-1,-1,0
1523629847447,851968,86,-56,-1,-1,0
1523629847488,589824,86,-56,-1,-1,0
1523629847488,-65536,86,-56,-1,-1,0
1523629847488,-393216,86,-56,-1,-1,0
1523629847488,-262144,86,-56,-1,-1,0
1523629847488,-393216,86,-56,-1,-1,0
1523629847527,-720896,86,-56,-1,-1,0
1523629847527,-786432,86,-56,-1,-1,0
1523629847527,-720896,86,-56,-1,-1,0
1523629847527,-655360,86,-56,-1,-1,0
1523629847527,-1114112,86,-56,-1,-1,0
1523629847568,-1835008,86,-56,-1,-1,0
1523629847568,-2752512,86,-56,-1,-1,0
1523629847568,-3276800,86,-56,-1,-1,0
1523629847568,-3473408,86,-56,-1,-1,0
1523629847568,-3473408,86,-56,-1,-1,0
1523629847608,-3538944,86,-56,-1,-1,0
1523629847608,-3342336,86,-56,-1,-1,0
1523629847608,-2752512,86,-56,-1,-1,0
1523629847608,-2228224,86,-56,-1,-1,0
1523629847608,-1966080,86,-56,-1,-1,0
1523629847648,-1703936,86,-56,-1,-1,0
1523629847648,-1179648,86,-56,-1,-1,0
1523629847648,-655360,86,-56,-1,-1,0
1523629847648,-196608,86,-56,-1,-1,0
1523629847648,196608,86,-56,-1,-1,0
1523629847687,458752,86,-56,-1,-1,0
1523629847687,458752,86,-56,-1,-1,0
1523629847687,655360,86,-56,-1,-1,0
1523629847687,589824,86,-56,-1,-1,0
1523629847687,458752,86,-56,-1,-1,0
1523629847728,458752,86,-56,-1,-1,0
1523629847728,655360,86,-56,-1,-1,0
1523629847728,655360,86,-56,-1,-1,0
1523629847728,524288,86,-56,-1,-1,0
1523629847728,458752,86,-56,-1,-1,0
1523629847767,524288,86,-56,-1,-1,0
1523629847767,524288,86,-56,-1,-1,0
1523629847767,524288,86,-56,-1,-1,0
1523629847767,458752,86,-56,-1,-1,0
1523629847767,393216,86,-56,-1,-1,0
1523629847808,393216,86,-56,-1,-1,0
1523629847808,393216,86,-56,-1,-1,0
1523629847808,458752,86,-56,-1,-1,0
1523629847808,458752,86,-56,-1,-1,0
1523629847808,393216,86,-56,-1,-1,0
1523629847847,327680,86,-56,-1,-1,0
1523629847847,262144,86,-56,-1,-1,0
1523629847847,458752,86,-56,-1,-1,0
1523629847847,524288,86,-56,-1,-1,0
1523629847847,327680,86,-56,-1,-1,0
1523629847888,131072,86,-56,-1,-1,0
1523629847888,196608,86,-56,-1,-1,0
1523629847888,196608,86,-56,-1,-1,0
1523629847888,262144,86,-56,-1,-1,0
1523629847888,262144,86,-56,-1,-1,0
1523629847927,196608,86,-56,-1,-1,0
1523629847927,196608,86,-56,-1,-1,0
1523629847927,196608,86,-56,-1,-1,0
1523629847927,262144,86,-56,-1,-1,0
1523629847927,327680,86,-56,-1,-1,0
1523629847968,524288,86,-56,-1,-1,0
1523629847968,655360,86,-56,-1,-1,0
1523629847968,720896,86,-56,-1,-1,0
1523629847968,655360,86,-56,-1,-1,0
1523629847968,589824,86,-56,-1,-1,0
1523629848007,655360,86,-56,-1,-1,0
1523629848007,720896,86,-56,-1,-1,0
1523629848007,786432,86,-56,-1,-1,0
1523629848007,720896,86,-56,-1,-1,0
1523629848007,262144,86,-56,-1,-1,0
1523629848048,-1310720,86,-56,-1,-1,0
1523629848048,-4521984,86,-56,-1,-1,0
1523629848048,-7143424,86,-56,-1,-1,0
1523629848048,-5505024,86,-56,-1,-1,0
1523629848048,-720896,86,-56,-1,-1,0
1523629848088,2424832,86,-56,-1,-1,0
1523629848088,2752512,86,-56,-1,-1,0
1523629848088,2097152,86,-56,-1,-1,0
1523629848088,1441792,86,-56,-1,-1,0
1523629848088,983040,86,-56,-1,-1,0
1523629848128,720896,86,-56,-1,-1,0
1523629848128,589824,86,-56,-1,-1,0
1523629848128,458752,86,-56,-1,-1,0
1523629848128,262144,86,-56,-1,-1,0
1523629848128,262144,86,-56,-1,-1,0
1523629848167,131072,86,-56,-1,-1,0
1523629848167,0,86,-56,-1,-1,0
1523629848167,0,86,-56,-1,-1,0
1523629848167,196608,86,-56,-1,-1,0
1523629848167,65536,86,-56,-1,-1,0
1523629848207,-393216,86,-56,-1,-1,0
1523629848207,-786432,86,-56,-1,-1,0
1523629848207,-1114112,86,-56,-1,-1,0
1523629848207,-1376256,86,-56,-1,-1,0
1523629848207,-1572864,86,-56,-1,-1,0
1523629848248,-2031616,86,-56,-1,-1,0
1523629848248,-2359296,86,-56,-1,-1,0
1523629848248,-2555904,86,-56,-1,-1,0
1523629848248,-2621440,86,-56,-1,-1,0
1523629848248,-2555904,86,-56,-1,-1,0
1523629848288,-2228224,86,-56,-1,-1,0
1523629848288,-1769472,86,-56,-1,-1,0
1523629848288,-1179648,86,-56,-1,-1,0
1523629848288,-655360,86,-56,-1,-1,0
1523629848288,-327680,86,-56,-1,-1,0
1523629848327,0,86,-56,-1,-1,0
1523629848327,327680,86,-56,-1,-1,0
1523629848327,786432,86,-56,-1,-1,0
1523629848327,1048576,86,-56,-1,-1,0
1523629848327,983040,86,-56,-1,-1,0
1523629848368,851968,86,-56,-1,-1,0
1523629848368,786432,86,-56,-1,-1,0
1523629848368,786432,86,-56,-1,-1,0
1523629848368,917504,86,-56,-1,-1,0
1523629848368,1114112,86,-56,-1,-1,0
1523629848407,1114112,86,-56,-1,-1,0
1523629848407,917504,86,-56,-1,-1,0
1523629848407,983040,86,-56,-1,-1,0
1523629848407,1310720,86,-56,-1,-1,0
1523629848407,1441792,86,-56,-1,-1,0
1523629848448,1376256,86,-56,-1,-1,0
1523629848448,1179648,86,-56,-1,-1,0
1523629848448,983040,86,-56,-1,-1,0
1523629848448,786432,86,-56,-1,-1,0
1523629848448,786432,86,-56,-1,-1,0
1523629848487,851968,86,-56,-1,-1,0
1523629848487,983040,86,-56,-1,-1,0
1523629848487,983040,86,-56,-1,-1,0
1523629848487,851968,86,-56,-1,-1,0
1523629848487,983040,86,-56,-1,-1,0
1523629848528,1114112,86,-56,-1,-1,0
1523629848528,983040,86,-56,-1,-1,0
1523629848528,917504,86,-56,-1,-1,0
1523629848528,917504,86,-56,-1,-1,0
1523629848528,851968,86,-56,-1,-1,0
1523629848567,655360,86,-56,-1,-1,0
1523629848567,458752,86,-56,-1,-1,0
1523629848567,524288,86,-56,-1,-1,0
1523629848567,983040,86,-56,-1,-1,0
1523629848567,1114112,86,-56,-1,-1,0
1523629848608,851968,86,-56,-1,-1,0
1523629848608,589824,86,-56,-1,-1,0
1523629848608,786432,86,-56,-1,-1,0
1523629848608,786432,86,-56,-1,-1,0
1523629848608,720896,86,-56,-1,-1,0
1523629848647,786432,86,-56,-1,-1,0
1523629848647,1179648,86,-56,-1,-1,0
1523629848647,1245184,86,-56,-1,-1,0
1523629848647,1114112,86,-56,-1,-1,0
1523629848647,983040,86,-56,-1,-1,0
1523629848687,917504,86,-56,-1,-1,0
1523629848687,720896,86,-56,-1,-1,0
1523629848687,0,86,-56,-1,-1,0
1523629848687,-2424832,86,-56,-1,-1,0
1523629848687,-6029312,86,-56,-1,-1,0
1523629848727,-7143424,86,-56,-1,-1,0
1523629848727,-3866624,86,-56,-1,-1,0
1523629848727,327680,86,-56,-1,-1,0
1523629848727,1966080,86,-56,-1,-1,0
1523629848727,1966080,86,-56,-1,-1,0
1523629848767,1769472,86,-56,-1,-1,0
1523629848767,1376256,86,-56,-1,-1,0
1523629848767,1048576,86,-56,-1,-1,0
1523629848767,1114112,86,-56,-1,-1,0
1523629848767,1179648,86,-56,-1,-1,0
1523629848807,655360,86,-56,-1,-1,0
1523629848807,131072,86,-56,-1,-1,0
1523629848807,0,86,-56,-1,-1,0
1523629848807,131072,86,-56,-1,-1,0
1523629848807,196608,86,-56,-1,-1,0
1523629848847,131072,86,-56,-1,-1,0
1523629848847,0,86,-56,-1,-1,0
1523629848847,-131072,86,-56,-1,-1,0
1523629848847,-196608,86,-56,-1,-1,0
1523629848847,-524288,86,-56,-1,-1,0
1523629848888,-851968,86,-56,-1,-1,0
1523629848888,-1114112,86,-56,-1,-1,0
1523629848888,-1441792,86,-56,-1,-1,0
1523629848888,-1966080,86,-56,-1,-1,0
1523629848888,-2359296,86,-56,-1,-1,0
1523629848927,-2621440,86,-56,-1,-1,0
1523629848927,-2555904,86,-56,-1,-1,0
1523629848927,-2293760,86,-56,-1,-1,0
1523629848927,-1966080,86,-56,-1,-1,0
1523629848927,-1507328,86,-56,-1,-1,0
1523629848967,-917504,86,-56,-1,-1,0
1523629848967,-327680,86,-56,-1,-1,0
1523629848967,-65536,86,-56,-1,-1,0
1523629848967,65536,86,-56,-1,-1,0
1523629848967,131072,86,-56,-1,-1,0
1523629849007,65536,86,-56,-1,-1,0
1523629849007,131072,86,-56,-1,-1,0
1523629849007,458752,86,-56,-1,-1,0
1523629849007,589824,86,-56,-1,-1,0
1523629849007,589824,86,-56,-1,-1,0
1523629849047,655360,86,-56,-1,-1,0
1523629849047,655360,86,-56,-1,-1,0
1523629849047,589824,86,-56,-1,-1,0
1523629849047,655360,86,-56,-1,-1,0
1523629849047,655360,86,-56,-1,-1,0
1523629849087,655360,86,-56,-1,-1,0
1523629849087,589824,86,-56,-1,-1,0
1523629849087,524288,86,-56,-1,-1,0
1523629849087,458752,86,-56,-1,-1,0
1523629849087,458752,86,-56,-1,-1,0
1523629849127,655360,86,-56,-1,-1,0
1523629849127,786432,86,-56,-1,-1,0
1523629849127,655360,86,-56,-1,-1,0
1523629849127,458752,86,-56,-1,-1,0
1523629849127,589824,86,-56,-1,-1,0
1523629849167,720896,86,-56,-1,-1,0
1523629849167,655360,86,-56,-1,-1,0
1523629849167,327680,86,-56,-1,-1,0
1523629849167,196608,86,-56,-1,-1,0
1523629849167,327680,86,-56,-1,-1,0
1523629849207,524288,86,-56,-1,-1,0
1523629849207,655360,86,-56,-1,-1,0
1523629849207,524288,86,-56,-1,-1,0
1523629849207,131072,86,-56,-1,-1,0
1523629849207,0,86,-56,-1,-1,0
1523629849247,131072,86,-56,-1,-1,0
1523629849247,458752,86,-56,-1,-1,0
1523629849247,786432,86,-56,-1,-1,0
